School,Year,G,MP,FG-O,FG-T,FGA-O,FGA-T,FG%-O,FG%-T,2P-O,2P-T,2PA-O,2PA-T,2P%-O,2P%-T,3P-O,3P-T,3PA-O,3PA-T,3P%-O,3P%-T,FT-O,FT-T,FTA-O,FTA-T,FT%-O,FT%-T,ORB-O,ORB-T,DRB-O,DRB-T,TRB-O,TRB-T,AST-O,AST-T,STL-O,STL-T,BLK-O,BLK-T,TOV-O,TOV-T,PF-O,PF-T,PTS-O,PTS-T,PTS/G-O,PTS/G-T,W,L,Seed,Finish
Wisconsin,2014-2015,18,3625,414,441,945,925,0.438,0.477,326,318,700,582,0.466,0.546,88,123,245,343,0.359,0.359,131,261,191,342,0.686,0.763,143,167,352,411,495,578,159,211,64,61,40,56,149,123,329,207,1047,1266,58.2,70.3,0.888888889,0.111111111,1,1
Maryland,2014-2015,18,3650,420,381,1020,926,0.412,0.411,300,248,661,562,0.454,0.441,120,133,359,364,0.334,0.365,201,292,313,381,0.642,0.766,191,157,429,457,620,614,194,181,94,88,59,75,201,218,351,305,1161,1187,64.5,65.9,0.777777778,0.222222222,2,4
Michigan State,2014-2015,18,3725,387,459,939,1010,0.412,0.454,275,329,597,657,0.461,0.501,112,130,342,353,0.327,0.368,282,214,387,343,0.729,0.624,158,210,406,453,564,663,181,290,92,96,47,88,188,198,335,343,1168,1262,64.9,70.1,0.666666667,0.333333333,3,2
Iowa,2014-2015,18,3650,401,429,979,948,0.41,0.453,274,329,600,671,0.457,0.49,127,100,379,277,0.335,0.361,219,286,307,397,0.713,0.72,190,204,373,426,563,630,211,248,105,103,68,70,188,182,328,289,1148,1244,63.8,69.1,0.666666667,0.333333333,5,12
Purdue,2014-2015,18,3625,384,417,977,923,0.393,0.452,289,320,682,621,0.424,0.515,95,97,295,302,0.322,0.321,288,271,399,402,0.722,0.674,207,199,365,438,572,637,180,254,140,97,64,86,195,241,359,343,1151,1204,63.9,66.9,0.666666667,0.333333333,4,4
Ohio State,2014-2015,18,3625,410,457,974,996,0.421,0.459,294,351,623,684,0.472,0.513,116,106,351,312,0.33,0.34,213,227,297,355,0.717,0.639,195,202,407,413,602,615,205,240,87,126,58,87,226,193,325,308,1149,1247,63.8,69.3,0.611111111,0.388888889,6,8
Indiana,2014-2015,18,3600,466,459,982,1020,0.475,0.45,356,290,656,602,0.543,0.482,110,169,326,418,0.337,0.404,247,207,347,295,0.712,0.702,166,195,398,400,564,595,241,233,93,76,87,42,181,201,297,326,1289,1294,71.6,71.9,0.5,0.5,7,8
Illinois,2014-2015,18,3650,405,383,932,982,0.435,0.39,292,256,591,621,0.494,0.412,113,127,341,361,0.331,0.352,214,247,298,305,0.718,0.81,156,177,438,394,594,571,215,191,85,116,50,51,212,181,287,309,1137,1140,63.2,63.3,0.5,0.5,8,12
Michigan,2014-2015,18,3749,437,397,961,956,0.455,0.415,323,262,624,575,0.518,0.456,114,135,337,381,0.338,0.354,184,197,271,253,0.679,0.779,188,149,437,381,625,530,238,193,81,86,56,28,196,171,268,261,1174,1126,65.2,62.6,0.444444444,0.555555556,9,8
Minnesota,2014-2015,18,3651,439,435,964,1010,0.455,0.431,294,309,591,657,0.497,0.47,145,126,373,353,0.389,0.357,227,220,305,319,0.744,0.69,189,186,435,377,624,563,281,226,101,136,95,49,253,197,303,309,1250,1216,69.4,67.6,0.333333333,0.666666667,10,12
Northwestern,2014-2015,18,3700,425,402,1002,916,0.424,0.439,269,264,600,547,0.448,0.483,156,138,402,369,0.388,0.374,212,177,304,236,0.697,0.75,202,136,407,422,609,558,270,254,92,64,45,60,144,201,249,302,1218,1119,67.7,62.2,0.333333333,0.666666667,11,12
Nebraska,2014-2015,18,3600,378,378,900,931,0.42,0.406,253,291,554,603,0.457,0.483,125,87,346,328,0.361,0.265,269,185,371,273,0.725,0.678,179,147,447,398,626,545,202,179,91,107,58,45,213,195,289,332,1150,1028,63.9,57.1,0.277777778,0.722222222,12,14
Penn State,2014-2015,18,3650,411,413,953,996,0.431,0.415,299,295,634,634,0.472,0.465,112,118,319,362,0.351,0.326,280,199,396,287,0.707,0.693,162,175,445,417,607,592,230,179,109,106,59,59,212,218,282,358,1214,1143,67.4,63.5,0.222222222,0.777777778,13,8
Rutgers,2014-2015,18,3600,454,380,993,982,0.457,0.387,317,299,605,702,0.524,0.426,137,81,388,280,0.353,0.289,219,203,327,325,0.67,0.625,183,205,461,413,644,618,255,183,114,86,60,50,198,237,299,309,1264,1044,70.2,58,0.111111111,0.888888889,14,14
Illinois,2015-2016,18,3775,497,428,1074,1040,0.463,0.412,344,286,668,632,0.515,0.453,153,142,406,408,0.377,0.348,221,249,304,319,0.727,0.781,176,121,518,432,694,553,271,221,91,99,69,30,236,196,319,323,1368,1247,76,69.3,0.277777778,0.722222222,12,8
Indiana,2015-2016,18,3625,449,498,1005,1044,0.447,0.477,331,320,674,596,0.491,0.537,118,178,331,448,0.356,0.397,207,232,313,313,0.661,0.741,154,205,384,457,538,662,217,274,106,116,46,58,216,233,325,329,1223,1406,67.9,78.1,0.833333333,0.166666667,1,8
Iowa,2015-2016,18,3600,463,465,1088,1062,0.426,0.438,333,332,669,702,0.498,0.473,130,133,419,360,0.31,0.369,191,301,284,424,0.673,0.71,216,212,448,459,664,671,244,251,94,122,65,77,227,177,376,296,1247,1364,69.3,75.8,0.666666667,0.333333333,5,12
Maryland,2015-2016,18,3625,434,455,1078,997,0.403,0.456,313,329,694,627,0.451,0.525,121,126,384,370,0.315,0.341,215,261,312,345,0.689,0.757,211,172,413,481,624,653,210,234,114,97,50,109,188,226,318,310,1204,1297,66.9,72.1,0.666666667,0.333333333,3,4
Michigan,2015-2016,18,3600,479,452,1011,1010,0.474,0.448,347,289,625,568,0.555,0.509,132,163,386,442,0.342,0.369,199,224,260,300,0.765,0.747,136,144,448,422,584,566,253,244,85,94,61,35,199,185,296,273,1289,1291,71.6,71.7,0.555555556,0.444444444,8,4
Michigan State,2015-2016,18,3625,410,528,1041,1090,0.394,0.484,294,351,695,710,0.423,0.494,116,177,346,380,0.335,0.466,266,213,365,293,0.729,0.727,174,221,381,515,555,736,197,364,90,79,70,87,170,209,292,358,1202,1446,66.8,80.3,0.722222222,0.277777778,2,1
Minnesota,2015-2016,18,3625,467,415,1004,1040,0.465,0.399,336,315,650,690,0.517,0.457,131,100,354,350,0.37,0.286,275,243,378,349,0.728,0.696,169,174,498,428,667,602,267,214,104,93,84,50,221,206,331,339,1340,1173,74.4,65.2,0.111111111,0.888888889,13,14
Nebraska,2015-2016,18,3625,437,469,950,1058,0.46,0.443,304,352,612,712,0.497,0.494,133,117,338,346,0.393,0.338,259,198,359,273,0.721,0.725,171,187,440,398,611,585,255,204,78,123,71,57,222,181,293,334,1266,1253,70.3,69.6,0.333333333,0.666666667,11,8
Northwestern,2015-2016,18,3625,407,442,955,1031,0.426,0.429,270,305,578,617,0.467,0.494,137,137,377,414,0.363,0.331,260,174,350,273,0.743,0.637,161,195,447,424,608,619,255,259,93,72,69,50,197,188,279,340,1211,1195,67.3,66.4,0.444444444,0.555555556,9,12
Ohio State,2015-2016,18,3650,443,449,1065,1025,0.416,0.438,303,340,649,713,0.467,0.477,140,109,416,312,0.337,0.349,244,254,350,371,0.697,0.685,194,180,462,484,656,664,242,207,87,87,44,86,199,217,340,332,1270,1261,70.6,70.1,0.611111111,0.388888889,7,8
Penn State,2015-2016,18,3650,438,401,994,1002,0.441,0.4,308,276,644,609,0.478,0.453,130,125,350,393,0.371,0.318,291,230,408,320,0.713,0.719,181,172,473,430,654,602,222,189,111,87,56,74,204,208,317,359,1297,1157,72.1,64.3,0.388888889,0.611111111,10,12
Purdue,2015-2016,18,3625,448,489,1039,1044,0.431,0.468,323,362,676,712,0.478,0.508,125,127,363,332,0.344,0.383,230,258,314,349,0.732,0.739,138,213,377,482,515,695,224,304,106,67,64,66,147,213,360,310,1251,1363,69.5,75.7,0.666666667,0.333333333,4,2
Rutgers,2015-2016,18,3675,563,433,1196,1055,0.471,0.41,384,346,755,767,0.509,0.451,179,87,441,288,0.406,0.302,244,233,337,340,0.724,0.685,263,150,529,419,792,569,322,208,122,109,75,53,204,237,303,304,1549,1186,86.1,65.9,0.055555556,0.944444444,14,14
Wisconsin,2015-2016,18,3625,408,419,937,939,0.435,0.446,300,287,658,592,0.456,0.485,108,132,279,347,0.387,0.38,227,259,307,372,0.739,0.696,168,166,403,390,571,556,200,206,81,117,56,48,230,184,355,297,1151,1229,63.9,68.3,0.666666667,0.333333333,6,12
