School,Type,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G,W,L,Seed,Finish
Wisconsin,Team,18,3625,441,925,0.477,318,582,0.546,123,343,0.359,261,342,0.763,167,411,578,211,61,56,123,207,1266,70.3,16,2,1,1
Wisconsin,Opponent,18,3625,414,945,0.438,326,700,0.466,88,245,0.359,131,191,0.686,143,352,495,159,64,40,149,329,1047,58.2,,,,
Maryland,Team,18,3650,381,926,0.411,248,562,0.441,133,364,0.365,292,381,0.766,157,457,614,181,88,75,218,305,1187,65.9,14,4,2,4
Maryland,Opponent,18,3650,420,1020,0.412,300,661,0.454,120,359,0.334,201,313,0.642,191,429,620,194,94,59,201,351,1161,64.5,,,,
Michigan State,Team,18,3725,459,1010,0.454,329,657,0.501,130,353,0.368,214,343,0.624,210,453,663,290,96,88,198,343,1262,70.1,12,6,3,2
Michigan State,Opponent,18,3725,387,939,0.412,275,597,0.461,112,342,0.327,282,387,0.729,158,406,564,181,92,47,188,335,1168,64.9,,,,
Iowa,Team,18,3650,429,948,0.453,329,671,0.49,100,277,0.361,286,397,0.72,204,426,630,248,103,70,182,289,1244,69.1,12,6,5,12
Iowa,Opponent,18,3650,401,979,0.41,274,600,0.457,127,379,0.335,219,307,0.713,190,373,563,211,105,68,188,328,1148,63.8,,,,
Purdue,Team,18,3625,417,923,0.452,320,621,0.515,97,302,0.321,271,402,0.674,199,438,637,254,97,86,241,343,1204,66.9,12,6,4,4
Purdue,Opponent,18,3625,384,977,0.393,289,682,0.424,95,295,0.322,288,399,0.722,207,365,572,180,140,64,195,359,1151,63.9,,,,
Ohio State,Team,18,3625,457,996,0.459,351,684,0.513,106,312,0.34,227,355,0.639,202,413,615,240,126,87,193,308,1247,69.3,11,7,6,8
Ohio State,Opponent,18,3625,410,974,0.421,294,623,0.472,116,351,0.33,213,297,0.717,195,407,602,205,87,58,226,325,1149,63.8,,,,
Indiana,Team,18,3600,459,1020,0.45,290,602,0.482,169,418,0.404,207,295,0.702,195,400,595,233,76,42,201,326,1294,71.9,9,9,7,8
Indiana,Opponent,18,3600,466,982,0.475,356,656,0.543,110,326,0.337,247,347,0.712,166,398,564,241,93,87,181,297,1289,71.6,,,,
Illinois,Team,18,3650,383,982,0.39,256,621,0.412,127,361,0.352,247,305,0.81,177,394,571,191,116,51,181,309,1140,63.3,9,9,8,12
Illinois,Opponent,18,3650,405,932,0.435,292,591,0.494,113,341,0.331,214,298,0.718,156,438,594,215,85,50,212,287,1137,63.2,,,,
Michigan,Team,18,3749,397,956,0.415,262,575,0.456,135,381,0.354,197,253,0.779,149,381,530,193,86,28,171,261,1126,62.6,8,10,9,8
Michigan,Opponent,18,3749,437,961,0.455,323,624,0.518,114,337,0.338,184,271,0.679,188,437,625,238,81,56,196,268,1174,65.2,,,,
Minnesota,Team,18,3651,435,1010,0.431,309,657,0.47,126,353,0.357,220,319,0.69,186,377,563,226,136,49,197,309,1216,67.6,6,12,10,12
Minnesota,Opponent,18,3651,439,964,0.455,294,591,0.497,145,373,0.389,227,305,0.744,189,435,624,281,101,95,253,303,1250,69.4,,,,
Northwestern,Team,18,3700,402,916,0.439,264,547,0.483,138,369,0.374,177,236,0.75,136,422,558,254,64,60,201,302,1119,62.2,6,12,11,12
Northwestern,Opponent,18,3700,425,1002,0.424,269,600,0.448,156,402,0.388,212,304,0.697,202,407,609,270,92,45,144,249,1218,67.7,,,,
Nebraska,Team,18,3600,378,931,0.406,291,603,0.483,87,328,0.265,185,273,0.678,147,398,545,179,107,45,195,332,1028,57.1,5,13,12,14
Nebraska,Opponent,18,3600,378,900,0.42,253,554,0.457,125,346,0.361,269,371,0.725,179,447,626,202,91,58,213,289,1150,63.9,,,,
Penn State,Team,18,3650,413,996,0.415,295,634,0.465,118,362,0.326,199,287,0.693,175,417,592,179,106,59,218,358,1143,63.5,4,14,13,8
Penn State,Opponent,18,3650,411,953,0.431,299,634,0.472,112,319,0.351,280,396,0.707,162,445,607,230,109,59,212,282,1214,67.4,,,,
Rutgers,Team,18,3600,380,982,0.387,299,702,0.426,81,280,0.289,203,325,0.625,205,413,618,183,86,50,237,309,1044,58,2,16,14,14
Rutgers,Opponent,18,3600,454,993,0.457,317,605,0.524,137,388,0.353,219,327,0.67,183,461,644,255,114,60,198,299,1264,70.2,,,,
